Captura,Entrada,AG
102,31.672,34.376962798835
103,32.376,34.6702226660843
104,33.314,34.9723645585064
105,34.018,35.2806865838876
106,34.722,35.5935118502934
107,35.66,35.9172999935518
108,36.481,36.2434260144402
109,37.068,36.5761085982634
110,37.772,36.9117297768925
111,38.475,37.248785318973
112,39.062,37.5960569367529
113,39.883,37.9440553851979
114,40.704,38.2937231248208
115,41.173,38.649490013301
116,41.76,39.0054492782496
117,42.112,39.3644334056682
118,42.464,39.7255354908966
119,42.698,40.0879550445755
120,42.815,40.4516880461987
121,42.815,40.8174180363404
122,42.815,41.1842104086103
123,42.815,41.5518292617966
124,42.815,41.922072282472
125,42.815,42.2934041670491
126,42.933,42.6673872057677
127,42.933,43.0429089779792
128,42.933,43.4219274550368
129,43.05,43.8017312244279
130,43.05,44.182544877916
131,43.167,44.5700667108013
132,43.285,44.9577971675938
133,43.285,45.3470188984115
134,43.402,45.7426819189662
135,43.519,46.1413322705707
136,43.637,46.541165502788
137,43.989,46.9444442558487
138,44.34,47.3510817987342
139,44.575,47.7605802001368
140,45.044,48.1729748398263
141,45.396,48.5869039824698
142,45.865,49.0025739308433
143,46.452,49.4206156410237
144,47.156,49.839699137453
145,48.094,50.2597134012395
146,48.798,50.6799986379682
147,49.502,51.1010736565949
148,50.206,51.5193123565091
149,51.261,51.9365392514657
150,51.965,52.3524136302783
151,52.669,52.7667229400307
152,53.725,53.1775294437927
153,54.546,53.5805918223767
154,55.25,53.984959938518
155,55.953,54.3724939430577
156,56.657,54.7526815459793
157,57.361,55.1251537138722
158,57.947,55.4866850505722
159,58.769,55.8402172601873
160,59.707,56.1777675939923
161,60.411,56.5046503678445
162,60.997,56.8249147508387
163,61.701,57.1421228774976
164,62.288,57.4313896546161
165,62.757,57.730288160908
166,63.109,57.9775535232117
167,63.578,58.2256003817618
168,63.578,58.4596906036276
169,63.695,58.6721579255496
170,63.695,58.8692832562369
171,63.813,59.0499371358176
172,63.813,59.1827622335325
173,63.93,59.3204076358265
174,63.93,59.4233967429412
175,64.047,59.5173846953828
176,64.047,59.6459886452011
177,64.047,59.6562329963578
178,64.047,59.6923226921825
179,64.047,59.7042493540203
180,63.93,59.6859207400467
181,63.813,59.6591298722357
182,63.695,59.614345114012
183,63.343,59.543071959231
184,62.991,59.4488853031478
185,62.757,59.333949281376
186,62.405,59.2012257096361
187,62.053,59.0573740498526
